SessionEntryID,SessionID,SessionEntryiRacingID,EntryName,IsTeam,CarID,FinishPosInClass,StartPositionInClass,ClassID,EntryIncidents,GapToLeader,LapsCompleted,FinalLapFinishTime,OverallFinishPos,OverallStartPos,StartPos,ReasonOut,ChampPoints
222,5,-278338,VELOCE,True,9,3,7,4,6,0.1788,31,6341.361800000001,3,0,0,Running,0
226,5,-231696,P1 ESPORT,True,9,7,8,4,9,0.5893,15,9445.0873,7,0,0,Running,0
220,5,-135394,Orion Race Team #46,True,9,1,9,4,12,-,28,7597.546399999999,1,0,0,Running,0
231,5,-23557,Satellite Racing LMP2,True,9,12,10,4,4,1.019,21,4306.0252,12,0,0,Running,0
229,5,-280685,ATRS eSports #13,True,9,10,11,4,17,0.9294,22,6660.1359,10,0,0,Running,0
230,5,-207269,URANO eSports DATAGROUP,True,9,11,12,4,3,1.0106,16,6548.4343,11,0,0,Running,0
225,5,-179201,Hardpoint by DeltaSport #99,True,9,6,13,4,8,0.4919,15,7334.2267,6,0,0,Running,0
235,5,-93998,Maniti Racing $IVRA LMP2,True,9,16,14,4,7,1.6628,18,7093.2026000000005,16,0,0,Running,0
227,5,-80235,Alpinestars Geodesic Racing,True,9,8,15,4,4,0.5904,13,6506.120400000001,8,0,0,Running,0
234,5,-237677,PRIVATE LABEL Team Hype $IVRA,True,9,15,16,4,4,1.4632,5,6522.3186000000005,15,0,0,Running,0
250,5,-124248,Archer Brothers,True,14,15,1,5,18,0.6669,31,7470.198,31,0,0,Running,0
