LapID,DriverEntryID,LapTime,LapStartTime,LapInSession,CleanLap,BlackFlag,CarContact,CarReset,Contact,Discontinuity,Invalid,LostControl,OffTrack,Pitted,Tow,EventCategory,PositionInClass,BestLapOnLap,LeaderLapStartTime,PercentageGapToBestLap,GapToClassLeader
7978,268,88.2689,15709.5933,162,0,0,0,0,0,0,0,0,1,0,0,Off Track,12,87.759,15486.3443,0.5810230289770715,223.2489999999998
8182,271,103.7943,2377.6534,23,1,0,0,0,0,0,0,0,0,0,0,,4,102.9267,2370.6219,0.842929968608729,7.031500000000051
10898,309,88.1837,784.8858,6,1,0,0,0,0,0,0,0,0,0,0,,12,87.6348,778.1235,0.6263493498016857,6.762299999999982
44,3,100.723,2510.6467,11,1,0,0,0,0,0,0,0,0,1,0,In Pits,15,82.7858,1288.6362,21.66700086246675,1222.0104999999999
630,28,83.8735,2766.8091,28,0,0,0,0,0,0,0,0,1,0,0,Off Track,1,83.8735,2766.8091,0.0,0.0
1151,54,87.2605,1519.7814,7,1,0,0,0,0,0,0,0,0,0,0,,9,86.5461,916.9402,0.8254560286367649,602.8412000000001
5129,234,85.2415,7722.5035,78,1,0,0,0,0,0,0,0,0,0,0,,9,83.6045,7695.5146,1.9580285750168827,26.988899999999376
6716,252,88.6078,11492.2072,117,1,0,0,0,0,0,0,0,0,0,0,,7,87.7981,11404.8755,0.9222295243290972,87.33170000000064
7969,268,89.0331,14910.6862,153,1,0,0,0,0,0,0,0,0,0,0,,12,87.995,14669.7779,1.1797261208023286,240.90830000000096
6615,251,87.9565,12485.9067,128,0,0,0,0,0,0,0,0,1,0,0,Off Track,6,87.8883,12431.145,0.07759849718337364,54.76169999999911
9451,286,92.6479,9099.1043,87,1,0,0,0,0,0,0,0,0,0,0,,9,90.6231,9009.9264,2.234308912407556,89.17790000000059
9647,288,145.4443,3184.605,28,1,0,0,0,0,0,0,0,0,0,0,,10,145.4443,3177.7717,0.0,6.833300000000236
10200,294,90.9611,9396.6621,83,1,0,0,0,0,0,0,0,0,0,0,,11,90.3401,8615.1534,0.6874023827735414,781.5087000000003
2876,209,158.9628,3170.3878,30,0,0,1,0,0,0,0,0,0,0,0,CarContact,5,158.9628,3168.6142,0.0,1.7735999999999876
4335,226,83.5994,1677.2012,17,1,0,0,0,0,0,0,0,0,0,0,,6,83.5994,1671.5166,0.0,5.684600000000046
6360,248,88.016,13164.5135,136,1,0,0,0,0,0,0,0,0,0,0,,3,88.016,13137.263,0.0,27.250499999998283
6918,254,88.5823,13784.074,142,1,0,0,0,0,0,0,0,0,0,0,,10,87.6853,13665.0556,1.0229764852261383,119.01840000000084
9106,281,90.7148,16759.9795,170,1,0,0,0,0,0,0,0,0,0,0,,5,90.7148,16631.9071,0.0,128.07240000000093
9218,283,135.99,11297.6838,111,0,0,0,0,0,0,1,0,1,1,0,"Invalid, Off Track, In Pits",4,90.7069,11217.9882,49.922442504373976,79.69560000000092
1366,63,87.5204,3859.4761,26,1,0,0,0,0,0,0,0,0,0,0,,10,87.3923,2697.8645,0.14658041955640044,1161.6115999999997
3091,211,85.8199,13505.9609,145,0,0,0,0,0,0,0,0,1,0,0,Off Track,2,85.8199,13478.961,-1.4210854715202004e-14,26.999900000000707
4021,222,83.7571,7122.8857,71,1,0,0,0,0,0,0,0,0,0,0,,10,83.4534,7108.6282,0.3639156703022195,14.257499999999709
187,8,91.8653,4342.6973,32,0,0,0,0,0,0,0,0,1,1,0,"Off Track, In Pits",10,83.426,3179.6199,10.115911106849182,1163.0773999999997
3325,213,83.8326,10565.0042,111,0,0,0,0,0,0,0,0,1,0,0,Off Track,3,83.7467,10557.9119,0.10257120579079526,7.09230000000025
5480,238,84.6053,6717.8492,65,1,0,0,0,0,0,0,0,0,0,0,,18,83.9137,6596.4918,0.824180080249107,121.35739999999987
7670,264,88.7054,12623.0285,129,1,0,0,0,0,0,0,0,0,0,0,,9,87.7763,12518.9213,1.0584861745140586,104.10720000000038
2386,134,90.2081,641.9507,5,1,0,0,0,0,0,0,0,0,0,0,,2,90.2081,565.994,-1.4210854715202004e-14,75.95669999999996
5182,235,84.2565,12374.4316,131,1,0,0,0,0,0,0,0,0,0,0,,12,83.6415,12294.3218,0.7352809311167334,80.10980000000018
9404,285,91.4847,4381.9756,41,0,0,0,0,0,0,0,0,1,0,0,Off Track,10,90.7419,4359.9642,0.8185854605204526,22.011399999999412
66,3,92.8957,6510.6222,40,1,0,0,0,0,0,0,0,0,1,0,In Pits,12,83.4389,3813.9325,11.333802339196694,2696.6897
953,44,140.2196,3373.9388,24,0,0,0,1,0,1,1,0,1,1,0,"Car Reset, Discontinuity, Invalid, Off Track, In Pits",8,87.2253,2521.3953,60.75565231647241,852.5434999999998
2727,186,99.5206,349.266,2,0,0,0,0,0,0,0,0,1,1,0,"Off Track, In Pits",15,87.4836,193.9958,13.75915028645369,155.27020000000002
3979,222,163.9701,3013.6586,29,1,0,0,0,0,0,0,0,0,0,0,,8,163.2537,3007.6981,0.43882619505714615,5.960500000000138
6590,250,87.9877,10222.4365,103,1,0,0,0,0,0,0,0,0,0,0,,5,87.8441,10168.8791,0.16347142266812398,53.55739999999969
295,12,97.7854,6489.6297,37,1,0,0,0,0,0,0,0,0,1,0,In Pits,13,83.5248,3581.4744,17.073491944907374,2908.1553000000004
676,31,2198.6133,5502.1898,30,0,0,0,0,0,0,1,0,0,1,0,"Invalid, In Pits",12,83.2459,2934.2942,2541.10700947434,2567.8956000000003
4238,224,84.9288,10022.7674,104,1,0,0,0,0,0,0,0,0,0,0,,14,83.3878,9967.8782,1.8479921523292262,54.88920000000144
4303,225,84.5362,15644.5469,169,1,0,0,0,0,0,0,0,0,0,0,,8,83.5356,15569.543,1.197812669089572,75.0038999999997
8642,276,91.1398,13479.5714,135,0,0,0,0,0,0,0,0,1,0,0,Off Track,3,90.8003,13428.9304,0.3738974430701205,50.64100000000144
9736,289,93.5668,11958.9817,117,0,0,0,0,0,0,0,0,1,0,0,Off Track,10,90.5414,11763.416,3.341454848279355,195.56570000000102
2310,125,87.6188,1913.0438,7,1,0,0,0,0,0,0,0,0,0,0,,13,86.9607,1766.7497,0.7567786367864926,146.29409999999984
2407,136,90.4952,671.6062,5,1,0,0,0,0,0,0,0,0,0,0,,10,90.2081,565.994,0.31826410266927496,105.61219999999992
3474,215,83.9828,11061.9886,117,0,0,0,0,0,0,0,0,1,0,0,Off Track,1,83.9828,11061.9886,-1.4210854715202004e-14,0.0
4829,231,83.2509,3421.6163,33,1,0,0,0,0,0,0,0,0,0,0,,6,82.4739,3416.4798,0.9421162331355788,5.136500000000069
9057,281,91.0724,12239.4082,121,1,0,0,0,0,0,0,0,0,0,0,,7,90.0222,12124.0322,1.166601127277488,115.3760000000002
10421,297,173.5856,5545.9957,50,1,0,0,0,0,0,0,0,0,0,0,,3,173.1996,5543.0913,0.22286425603755333,2.9044000000003507
4941,232,83.9775,14497.3698,156,1,0,0,0,0,0,0,0,0,0,0,,4,83.9775,14431.3574,-1.4210854715202004e-14,66.01239999999962
7778,266,88.0457,10531.233,106,1,0,0,0,0,0,0,0,0,0,0,,11,87.7047,10433.5113,0.38880470487897867,97.72170000000006
8784,278,91.5534,2099.5051,20,1,0,0,0,0,0,0,0,0,0,0,,6,90.5356,2085.6508,1.124198657765561,13.854299999999967
